Name,N_sample,Dim,Size (GB),mpts,is_initial_kNNG_connected,is_new_kNNG_connected,Time_myMethod,Time_exact_HDBSCAN,ARI_myMethod,HAI_myMethod,Time_app_HDBSCAN,ARI_APP_HDBSCAN,HAI_APP_HDBSCAN
standart,5000.0,32.0,0.00128,20.0,False,True,4.453057050704956,1.00860595703125,1.0,0.9538240379535944,0.8671767711639404,1.0,0.9997239202880016
standart,5000.0,32.0,0.00128,20.0,False,True,4.377487182617188,1.0746026039123535,1.0,0.9996496747520008,0.8648650646209717,1.0,0.9997040264320016
standart,5000.0,32.0,0.00128,20.0,False,True,4.273020505905151,1.0917444229125977,1.0,0.9996623670400012,0.8787426948547363,1.0,0.9997227359040016
standart,5000.0,32.0,0.00128,20.0,False,True,4.370309114456177,1.0612514019012451,1.0,0.9996436481600008,0.8710770606994629,1.0,0.9997133938560018
standart,5000.0,32.0,0.00128,30.0,False,True,5.74300217628479,1.0399484634399414,1.0,0.9997891920000018,0.8675763607025146,1.0,0.9998089718720016
standart,5000.0,32.0,0.00128,30.0,False,True,5.6840455532073975,1.0721766948699951,1.0,0.9407802522600948,0.8605637550354004,1.0,0.9997921342720012
standart,5000.0,32.0,0.00128,30.0,False,True,5.847555637359619,1.0710861682891846,1.0,0.9711747922567976,0.8735852241516113,1.0,0.9997988100480014
standart,5000.0,32.0,0.00128,30.0,False,True,5.637730598449707,1.0507934093475342,1.0,0.9997894865280018,0.8722572326660156,1.0,0.9998056568000016
standart,5000.0,32.0,0.00128,30.0,False,True,5.717059373855591,1.000622034072876,1.0,0.957841891744126,0.8623654842376709,1.0,0.9997885560960014
standart,5000.0,64.0,0.00256,10.0,False,True,3.2430636882781982,1.0942614078521729,1.0,0.9991032442559984,1.5791959762573242,1.0,0.9994551507199974
standart,5000.0,64.0,0.00256,10.0,False,True,3.563900947570801,1.0702431201934814,1.0,0.985288370687598,1.5548303127288818,1.0,0.9994796000959985
standart,5000.0,64.0,0.00256,10.0,False,True,3.2955918312072754,1.0194709300994873,1.0,0.9889567939839616,1.5514419078826904,1.0,0.9994806807679985
standart,5000.0,64.0,0.00256,10.0,False,True,3.1495838165283203,1.0028409957885742,1.0,0.999098146751998,1.5330133438110352,1.0,0.9994493805119988
standart,5000.0,64.0,0.00256,10.0,False,True,3.1101620197296143,1.0720174312591553,1.0,0.999095717791997,1.60341477394104,1.0,0.9994750453759986
standart,5000.0,64.0,0.00256,20.0,False,True,4.512913942337036,1.0770325660705566,1.0,0.9716735171842312,1.5721490383148191,1.0,0.9997238744960012
standart,5000.0,64.0,0.00256,20.0,False,True,4.447513818740845,1.0886292457580566,1.0,0.9796791019192992,1.5595648288726809,1.0,0.9997315951040018
standart,5000.0,64.0,0.00256,20.0,False,True,4.304995775222778,1.0418479442596436,1.0,0.9996833347520012,1.5629618167877195,1.0,0.999727117024002
standart,5000.0,64.0,0.00256,20.0,False,True,4.18131160736084,1.0501132011413574,1.0,0.9996805416000016,1.5713648796081543,1.0,0.999722754272002
standart,5000.0,64.0,0.00256,20.0,False,True,4.0597569942474365,1.067051649093628,1.0,0.971677262848738,1.6279692649841309,1.0,0.9997244099520018
standart,5000.0,64.0,0.00256,30.0,False,True,5.721772193908691,1.0393502712249756,1.0,0.9997862500480016,1.5895073413848877,1.0,0.9997993418880016
standart,5000.0,64.0,0.00256,30.0,False,True,5.581968784332275,1.0609793663024902,1.0,0.9997800934080014,1.5347599983215332,1.0,0.9997889648640016
standart,5000.0,64.0,0.00256,30.0,False,True,5.656466007232666,1.053877592086792,1.0,0.9757856103358572,1.5637187957763672,1.0,0.9997960242560016
standart,5000.0,64.0,0.00256,30.0,False,True,5.612742900848389,1.059615135192871,1.0,0.9997967665600016,1.5774149894714355,1.0,0.9998020227520016
standart,5000.0,64.0,0.00256,30.0,False,True,5.776861667633057,1.0963094234466553,1.0,0.9899891677118406,1.6022076606750488,1.0,0.9997994915840016
moons,5000.0,2.0,8e-05,10.0,False,True,2.97198748588562,1.05787992477417,0.9994552074226352,0.9983579795839004,0.2883949279785156,0.9991835640042384,0.9981539955837486
moons,5000.0,2.0,8e-05,10.0,False,True,3.0720601081848145,1.063563346862793,1.0,0.9969921025923688,0.2843234539031982,1.0,0.8110393847389428
moons,5000.0,2.0,8e-05,10.0,False,True,3.0219321250915527,1.0420315265655518,0.9997289992708016,0.99680664361597,0.3068845272064209,0.9997289992708016,0.9978078998079082
moons,5000.0,2.0,8e-05,10.0,False,True,2.882500171661377,1.027592420578003,0.9991908576437596,0.9972170953603025,0.278667688369751,0.9986502859355658,0.9970541410558458
moons,5000.0,2.0,8e-05,10.0,False,True,3.066655158996582,1.00819730758667,0.9997309283126355,0.8726623256041465,0.2782571315765381,1.0,0.9975901402882418
moons,5000.0,2.0,8e-05,20.0,False,True,4.251816511154175,1.0430192947387695,0.9997287843319728,0.9983125767359472,0.2831425666809082,0.9994580697987724,0.9984931153600588
moons,5000.0,2.0,8e-05,20.0,False,True,4.23615574836731,1.040249586105347,0.999462215470058,0.8734651558043508,0.2818222045898437,0.9991927868489608,0.9984060941757296
